,2021,date,meeting,committee,held,notation,vote,agreed,next,would,april,adjourned,10:20,a.m.,march,17,completed,february,16,unanimously,approved,minutes,january,_______________________,james,a.,clouse,secretary,state
0,0.0,2004-01-01,10.0,4.25,2.0476190476190474,0.0,31.675079567799884,0.0,10.498026371042247,21.51234912098821,10.094256126002161,0.0,0.0,2.0526315789473686,21.87088827300468,10.498026371042247,0.0,22.308306038464774,66.40317885297806,0.0,6.25,10.498026371042247,76.92519323608542,0.0,247.87006709405304,65.61266481901404,0.0,55.11463844797179,AL
1,0.0,2004-02-01,1.9,2.0833333333333335,1.9523809523809523,2.0,40.72510230145699,0.0,10.498026371042247,32.268523681482314,43.74177654600936,0.0,0.0,0.0,65.61266481901404,31.49407911312674,0.0,52.49013185521124,31.620561358560984,0.0,0.0,31.49407911312674,31.675079567799884,0.0,193.19284641154135,41.99210548416899,0.0,41.99210548416899,AL
2,0.0,2004-03-01,7.7,2.75,2.619047619047619,2.6538461538461537,85.97521596974254,0.0,72.17393130091546,15.058644384691748,70.65979288201513,0.0,0.0,2.6315789473684212,100.60608605582154,28.86957252036618,2.6315789473684212,14.43478626018309,28.458505222704886,0.0,0.0,28.86957252036618,0.0,0.0,244.22491904855227,28.86957252036618,0.0,41.99210548416899,AL
3,0.0,2004-04-01,3.8,6.0,3.857142857142857,0.0,49.7751250351141,0.0,41.99210548416899,40.8734633298776,198.52037047804248,0.0,0.0,0.0,52.49013185521124,10.498026371042247,0.0,0.0,61.66009464919392,0.0,3.9375,20.996052742084494,0.0,0.0,295.2569916855632,20.996052742084494,0.0,31.49407911312674,AL
4,0.0,2004-05-01,1.8,3.9166666666666665,0.0,0.0,18.100045467314217,0.0,81.35970437557741,0.0,30.282768378006484,0.0,0.0,1.868421052631579,39.36759889140843,10.498026371042247,0.0,0.0,20.553364883064642,0.0,3.8125,10.498026371042247,0.0,0.0,164.03166204753512,60.36365163349292,0.0,30.18182581674646,AL
5,0.0,2004-06-01,1.8,5.666666666666667,1.8095238095238095,0.0,18.100045467314217,0.0,30.18182581674646,68.83951718716227,20.188512252004323,0.0,0.0,0.0,0.0,0.0,1.8157894736842106,0.0,30.039533290632935,0.0,3.6875,9.185773074661967,0.0,0.0,240.5797710030515,39.36759889140843,0.0,78.73519778281685,AL
6,8.466150299227618,2004-07-01,9.0,1.9166666666666667,1.8571428571428572,0.0,18.100045467314217,0.0,30.18182581674646,30.117288769383496,10.094256126002161,0.0,0.0,0.0,8.748355309201873,19.683799445704214,0.0,10.498026371042247,30.039533290632935,1.8518518518518519,1.875,19.683799445704214,0.0,0.0,273.38610341255855,10.498026371042247,0.0,39.36759889140843,AL
7,0.0,2004-08-01,4.8,3.4166666666666665,0.0,1.6538461538461537,58.82514776877121,0.0,26.24506592760562,8.604939648395284,10.094256126002161,0.0,1.6129032258064515,0.0,17.496710618403746,17.059292852943653,0.0,0.0,26.877477154776837,0.0,3.3125,17.059292852943653,9.050022733657109,0.0,196.83799445704213,26.24506592760562,0.0,35.43083900226758,AL
8,0.0,2004-09-01,4.7,8.333333333333334,1.5714285714285714,1.6153846153846154,67.87517050242832,0.0,43.30435878054927,25.814818945185852,0.0,0.0,0.0,0.0,43.74177654600936,17.059292852943653,0.0,0.0,34.78261749441709,0.0,0.0,34.118585705887305,0.0,0.0,174.96710618403745,9.185773074661967,0.0,60.36365163349292,AL
9,0.0,2004-10-01,4.8,6.833333333333333,3.238095238095238,0.0,181.0004546731422,0.0,53.802385151591515,17.209879296790568,16.8237602100036,0.0,0.0,0.0,17.496710618403746,26.24506592760562,0.0,0.0,26.877477154776837,0.0,0.0,9.185773074661967,9.050022733657109,0.0,178.61225422953822,35.43083900226758,0.0,70.86167800453516,AL
