date,haircut,isPartial,State
2008-01-01,21,False,AL
2008-02-01,26,False,AL
2008-03-01,21,False,AL
2008-04-01,49,False,AL
2008-05-01,30,False,AL
2008-06-01,54,False,AL
2008-07-01,50,False,AL
2008-08-01,49,False,AL
2008-09-01,59,False,AL
2008-10-01,26,False,AL
2008-11-01,24,False,AL
2008-12-01,37,False,AL
2009-01-01,51,False,AL
2009-02-01,27,False,AL
2009-03-01,17,False,AL
2009-04-01,33,False,AL
2009-05-01,35,False,AL
2009-06-01,54,False,AL
2009-07-01,31,False,AL
2009-08-01,51,False,AL
2009-09-01,36,False,AL
2009-10-01,35,False,AL
2009-11-01,45,False,AL
2009-12-01,68,False,AL
2010-01-01,34,False,AL
2010-02-01,57,False,AL
2010-03-01,36,False,AL
2010-04-01,61,False,AL
2010-05-01,61,False,AL
2010-06-01,72,False,AL
2010-07-01,32,False,AL
2010-08-01,78,False,AL
2010-09-01,40,False,AL
2010-10-01,25,False,AL
2010-11-01,42,False,AL
2010-12-01,33,False,AL
2011-01-01,41,False,AL
2011-02-01,100,False,AL
2011-03-01,64,False,AL
2011-04-01,37,False,AL
2011-05-01,31,False,AL
2011-06-01,28,False,AL
2011-07-01,34,False,AL
2011-08-01,31,False,AL
2011-09-01,39,False,AL
2011-10-01,24,False,AL
2011-11-01,31,False,AL
2011-12-01,26,False,AL
2012-01-01,40,False,AL
2012-02-01,31,False,AL
2012-03-01,43,False,AL
2012-04-01,37,False,AL
2012-05-01,63,False,AL
2012-06-01,66,False,AL
2012-07-01,48,False,AL
2012-08-01,76,False,AL
2012-09-01,43,False,AL
2012-10-01,29,False,AL
2012-11-01,45,False,AL
2012-12-01,42,False,AL
2013-01-01,40,False,AL
2013-02-01,63,False,AL
2013-03-01,39,False,AL
2013-04-01,47,False,AL
2013-05-01,46,False,AL
2013-06-01,54,False,AL
2013-07-01,48,False,AL
2013-08-01,95,False,AL
2013-09-01,39,False,AL
2013-10-01,44,False,AL
2013-11-01,53,False,AL
2013-12-01,46,False,AL
2014-01-01,66,False,AL
2014-02-01,54,False,AL
2014-03-01,47,False,AL
2014-04-01,51,False,AL
2014-05-01,45,False,AL
2014-06-01,45,False,AL
2014-07-01,69,False,AL
2014-08-01,44,False,AL
2014-09-01,39,False,AL
2014-10-01,45,False,AL
2014-11-01,60,False,AL
2014-12-01,36,False,AL
2015-01-01,48,False,AL
2015-02-01,55,False,AL
2015-03-01,49,False,AL
2015-04-01,51,False,AL
2015-05-01,60,False,AL
2015-06-01,66,False,AL
2015-07-01,50,False,AL
2015-08-01,64,False,AL
2015-09-01,49,False,AL
2015-10-01,53,False,AL
2015-11-01,59,False,AL
2015-12-01,47,False,AL
2016-01-01,73,False,AL
2016-02-01,45,False,AL
2016-03-01,75,False,AL
2016-04-01,73,False,AL
2016-05-01,77,False,AL
2016-06-01,57,False,AL
2016-07-01,61,False,AL
2016-08-01,60,False,AL
2016-09-01,55,False,AL
2016-10-01,57,False,AL
2016-11-01,66,False,AL
2016-12-01,59,False,AL
2017-01-01,57,False,AL
2017-02-01,72,False,AL
2017-03-01,69,False,AL
2017-04-01,70,False,AL
2017-05-01,66,False,AL
2017-06-01,59,False,AL
2017-07-01,59,False,AL
2017-08-01,75,False,AL
2017-09-01,67,False,AL
2017-10-01,55,False,AL
2017-11-01,54,False,AL
2017-12-01,58,False,AL
2018-01-01,64,False,AL
2018-02-01,71,False,AL
2018-03-01,62,False,AL
2018-04-01,64,False,AL
2018-05-01,64,False,AL
2018-06-01,66,False,AL
2018-07-01,66,False,AL
2018-08-01,81,False,AL
2018-09-01,40,False,AL
2018-10-01,51,False,AL
2018-11-01,66,False,AL
2018-12-01,50,False,AL
2019-01-01,57,False,AL
2019-02-01,59,False,AL
2019-03-01,60,False,AL
2019-04-01,56,False,AL
2019-05-01,64,False,AL
2019-06-01,71,False,AL
2019-07-01,65,False,AL
2019-08-01,70,False,AL
2019-09-01,53,False,AL
2019-10-01,61,False,AL
2019-11-01,54,False,AL
2019-12-01,62,False,AL
2020-01-01,58,False,AL
2008-01-01,37,False,AK
2008-02-01,0,False,AK
2008-03-01,13,False,AK
2008-04-01,16,False,AK
2008-05-01,14,False,AK
2008-06-01,13,False,AK
2008-07-01,25,False,AK
2008-08-01,12,False,AK
2008-09-01,22,False,AK
2008-10-01,31,False,AK
2008-11-01,34,False,AK
2008-12-01,11,False,AK
2009-01-01,10,False,AK
2009-02-01,11,False,AK
2009-03-01,10,False,AK
2009-04-01,30,False,AK
2009-05-01,43,False,AK
2009-06-01,11,False,AK
2009-07-01,32,False,AK
2009-08-01,41,False,AK
2009-09-01,41,False,AK
2009-10-01,29,False,AK
2009-11-01,20,False,AK
2009-12-01,39,False,AK
2010-01-01,18,False,AK
2010-02-01,29,False,AK
2010-03-01,9,False,AK
2010-04-01,9,False,AK
2010-05-01,49,False,AK
2010-06-01,20,False,AK
2010-07-01,0,False,AK
2010-08-01,68,False,AK
2010-09-01,9,False,AK
2010-10-01,25,False,AK
2010-11-01,24,False,AK
2010-12-01,16,False,AK
2011-01-01,18,False,AK
2011-02-01,68,False,AK
2011-03-01,34,False,AK
2011-04-01,6,False,AK
2011-05-01,42,False,AK
2011-06-01,18,False,AK
2011-07-01,37,False,AK
2011-08-01,23,False,AK
2011-09-01,11,False,AK
2011-10-01,16,False,AK
2011-11-01,16,False,AK
2011-12-01,27,False,AK
2012-01-01,23,False,AK
2012-02-01,18,False,AK
2012-03-01,22,False,AK
2012-04-01,29,False,AK
2012-05-01,37,False,AK
2012-06-01,26,False,AK
2012-07-01,30,False,AK
2012-08-01,47,False,AK
2012-09-01,14,False,AK
2012-10-01,40,False,AK
2012-11-01,9,False,AK
2012-12-01,34,False,AK
2013-01-01,28,False,AK
2013-02-01,36,False,AK
2013-03-01,36,False,AK
2013-04-01,32,False,AK
2013-05-01,25,False,AK
2013-06-01,52,False,AK
2013-07-01,26,False,AK
2013-08-01,21,False,AK
2013-09-01,28,False,AK
2013-10-01,36,False,AK
2013-11-01,49,False,AK
2013-12-01,24,False,AK
2014-01-01,23,False,AK
2014-02-01,39,False,AK
2014-03-01,42,False,AK
2014-04-01,51,False,AK
2014-05-01,34,False,AK
2014-06-01,30,False,AK
2014-07-01,24,False,AK
2014-08-01,41,False,AK
2014-09-01,39,False,AK
2014-10-01,38,False,AK
2014-11-01,31,False,AK
2014-12-01,49,False,AK
2015-01-01,21,False,AK
2015-02-01,50,False,AK
2015-03-01,38,False,AK
2015-04-01,67,False,AK
2015-05-01,18,False,AK
2015-06-01,27,False,AK
2015-07-01,59,False,AK
2015-08-01,46,False,AK
2015-09-01,28,False,AK
2015-10-01,27,False,AK
2015-11-01,52,False,AK
2015-12-01,28,False,AK
2016-01-01,38,False,AK
2016-02-01,59,False,AK
2016-03-01,25,False,AK
2016-04-01,67,False,AK
2016-05-01,50,False,AK
2016-06-01,39,False,AK
2016-07-01,67,False,AK
2016-08-01,26,False,AK
2016-09-01,37,False,AK
2016-10-01,44,False,AK
2016-11-01,48,False,AK
2016-12-01,52,False,AK
2017-01-01,43,False,AK
2017-02-01,61,False,AK
2017-03-01,41,False,AK
2017-04-01,35,False,AK
2017-05-01,30,False,AK
2017-06-01,56,False,AK
2017-07-01,100,False,AK
2017-08-01,39,False,AK
2017-09-01,25,False,AK
2017-10-01,43,False,AK
2017-11-01,58,False,AK
2017-12-01,47,False,AK
2018-01-01,66,False,AK
2018-02-01,26,False,AK
2018-03-01,34,False,AK
2018-04-01,46,False,AK
2018-05-01,70,False,AK
2018-06-01,76,False,AK
2018-07-01,49,False,AK
2018-08-01,41,False,AK
2018-09-01,44,False,AK
2018-10-01,78,False,AK
2018-11-01,34,False,AK
2018-12-01,53,False,AK
2019-01-01,36,False,AK
2019-02-01,43,False,AK
2019-03-01,59,False,AK
2019-04-01,78,False,AK
2019-05-01,47,False,AK
2019-06-01,51,False,AK
2019-07-01,75,False,AK
2019-08-01,63,False,AK
2019-09-01,44,False,AK
2019-10-01,40,False,AK
2019-11-01,45,False,AK
2019-12-01,68,False,AK
2020-01-01,57,False,AK
2008-01-01,20,False,AZ
2008-02-01,23,False,AZ
2008-03-01,18,False,AZ
2008-04-01,24,False,AZ
2008-05-01,24,False,AZ
2008-06-01,32,False,AZ
2008-07-01,45,False,AZ
2008-08-01,28,False,AZ
2008-09-01,34,False,AZ
2008-10-01,28,False,AZ
2008-11-01,16,False,AZ
2008-12-01,35,False,AZ
2009-01-01,33,False,AZ
2009-02-01,27,False,AZ
2009-03-01,23,False,AZ
2009-04-01,21,False,AZ
2009-05-01,38,False,AZ
2009-06-01,35,False,AZ
2009-07-01,29,False,AZ
2009-08-01,32,False,AZ
2009-09-01,29,False,AZ
2009-10-01,36,False,AZ
2009-11-01,26,False,AZ
2009-12-01,19,False,AZ
2010-01-01,21,False,AZ
2010-02-01,35,False,AZ
2010-03-01,38,False,AZ
2010-04-01,44,False,AZ
2010-05-01,30,False,AZ
2010-06-01,35,False,AZ
2010-07-01,25,False,AZ
2010-08-01,52,False,AZ
2010-09-01,34,False,AZ
2010-10-01,33,False,AZ
2010-11-01,23,False,AZ
2010-12-01,28,False,AZ
2011-01-01,38,False,AZ
2011-02-01,100,False,AZ
2011-03-01,49,False,AZ
2011-04-01,37,False,AZ
2011-05-01,44,False,AZ
2011-06-01,45,False,AZ
2011-07-01,43,False,AZ
